Zip Code,Location,State,Country,Parcel Size (acres),Parcel Price,Listing Name,Listing Author,Post Date
79847,Cornudas,TX, USA,20.18,18000.00 ,LAND FOR SALE – How to grow Old & Rich together: Invest 20.01 Acres and Enjoy Getting Money Tomorrow!,LandJakes,04/14/2022
79847,Cornudas,TX, USA,20.00,18000.00 ,"Invest 20 Acres or Neighboring Lots in Cornudas Hudspeth County, TX. $500/Month",LandJakes,03/04/2022
79847,Cornudas,TX, USA,20.00,18000.00 ,"Invest 20 Acres Land in Hudspeth County, TX. Neighboring lots Available! ZERO DOWN!",LandJakes,03/04/2022
79847,Cornudas,TX, USA,20.00,20000.00 ,Summery Living in The Sunny Texas! Own 20 Acres in Cornudas – Zero Down!,LandJakes,03/04/2022
79847,Cornudas,TX, USA,20.00,18000.00 ,"Invest 20 Acres or Neighboring Lots in Cornudas Hudspeth County, TX. $500/Month",LandJakes,02/10/2022
79847,Cornudas,TX, USA,18.00,18000.00 ,"Invest 20 Acres Land in Hudspeth County, TX. Neighboring lots Available! ZERO DOWN!",LandJakes,02/10/2022
79855,Van Horn,TX, USA,15.64,7500.00 ,"Van Horn, TX 79855", Auction Flippers LLC, 06/06/2022
79855,Van Horn,TX, USA,11.00,5500.00 ,"Van Horn, TX 79855", Auction Flippers LLC, 06/06/2022
79855,Van Horn,TX, USA,11.00,5500.00 ,"Van Horn, TX 79855", Auction Flippers LLC, 06/06/2022
79855,Van Horn,TX, USA,11.00,5500.00 ,"Van Horn, TX 79855", Auction Flippers LLC, 06/06/2022
79855,Van Horn,TX, USA,12.92,9995.00 ,"Van Horn, TX 79855", Auction Flippers LLC, 06/03/2022
79855,Van Horn,TX, USA,12.92,9995.00 ,"Van Horn, TX 79855", Auction Flippers LLC, 06/03/2022
79855,Van Horn,TX, USA,11.00,6500.00 ,"Van Horn, TX 79855", Auction Flippers LLC, 06/03/2022
79855,Van Horn,TX, USA,11.00,9995.00 ,"Van Horn, TX 79855", Auction Flippers LLC, 06/03/2022
79855,Van Horn,TX, USA,11.00,9995.00 ,"Van Horn, TX 79855", Auction Flippers LLC, 06/03/2022
92301,Adelanto,CA, USA,2.29,9995.00 ,"2.29 Acres Adelanto, San Bernardino County, CA! Buy the Spot for the Perfect Getaway",Patrick Elder,06/07/2022
92301,Adelanto,CA, USA,2.50,13995.00 ,"Own This 2.50 Acre Land in Adelanto! Perfect Spot for You to Invest!",Patrick Elder,07/06/2022
92301,Adelanto,CA, USA,2.28,14995.00 ,"Located in Adelanto, CA! 2.28 Acres Vacant Land!",Patrick Elder,06/06/2022
